Bus Voltage (V),Current (mA),Power (mW)
4.724,18.1,86.0
4.728,17.9,86.0
4.72,17.8,86.0
4.728,18.0,82.0
4.724,17.9,86.0
4.728,17.8,86.0
4.728,18.0,86.0
4.724,17.9,86.0
4.728,17.9,86.0
4.728,18.0,86.0
4.728,17.8,86.0
4.728,17.7,82.0
4.728,18.0,86.0
4.728,17.6,86.0
4.728,17.9,86.0
4.728,17.7,82.0
4.732,17.8,82.0
4.724,18.1,86.0
4.728,18.0,82.0
4.728,18.1,86.0
4.724,17.9,86.0
4.728,17.7,86.0
4.728,18.0,86.0
4.728,17.8,82.0
4.728,17.9,86.0
4.724,17.8,86.0
4.728,17.9,86.0
4.728,17.9,86.0
4.728,17.9,86.0
4.728,17.8,86.0
4.724,18.1,86.0
4.728,18.0,86.0
4.728,17.9,86.0
4.724,17.4,82.0
4.728,17.8,86.0
4.724,18.0,86.0
4.728,18.1,86.0
4.728,17.9,86.0
4.728,18.1,86.0
4.728,18.0,86.0
4.72,21.1,98.0
4.724,21.0,98.0
4.724,21.2,102.0
4.72,21.2,98.0
4.72,21.3,102.0
4.724,21.5,102.0
4.72,21.0,102.0
4.724,21.5,102.0
4.72,21.3,102.0
4.724,21.1,102.0
4.724,21.1,98.0
4.72,20.9,98.0
4.72,20.9,98.0
4.72,21.1,98.0
4.724,21.1,98.0
4.72,20.9,98.0
4.72,21.2,102.0
4.724,21.4,102.0
4.716,21.0,98.0
4.72,21.6,102.0
4.72,21.0,98.0
4.724,21.3,98.0
4.724,21.2,102.0
4.72,20.9,98.0
4.72,21.2,102.0
4.72,21.2,102.0
4.72,21.4,102.0
4.724,21.2,98.0
4.72,21.5,102.0
4.724,21.0,98.0
4.72,21.1,98.0
4.72,20.9,98.0
4.72,21.2,102.0
4.72,21.5,102.0
4.724,21.1,102.0
4.72,21.1,98.0
4.72,21.4,102.0
4.724,21.0,102.0
4.72,21.1,98.0
4.72,21.4,102.0
4.72,20.9,98.0
4.716,21.2,98.0
4.72,20.9,102.0
4.72,21.4,102.0
4.72,21.3,102.0
4.724,21.1,102.0
4.72,21.4,102.0
4.724,21.1,98.0
4.724,21.2,102.0
4.72,21.0,98.0
4.724,21.1,98.0
4.72,21.3,102.0
4.724,21.1,102.0
4.72,21.1,98.0
4.72,21.5,102.0
4.72,21.3,98.0
4.724,21.1,98.0
4.72,21.1,98.0
4.72,21.3,102.0
4.72,21.2,102.0
4.724,21.1,98.0
4.724,21.0,98.0
4.72,21.1,98.0
4.72,21.3,102.0
4.724,21.6,102.0
4.724,21.0,98.0
4.72,21.2,102.0
4.72,21.1,98.0
4.724,21.1,98.0
4.72,21.0,98.0
4.72,21.1,102.0
4.72,21.5,102.0
4.716,21.2,98.0
4.724,21.1,98.0
4.724,21.1,98.0
4.72,21.8,102.0
4.724,21.4,102.0
4.72,20.8,98.0
4.724,21.1,98.0
4.724,21.1,98.0
4.72,21.0,102.0
4.724,21.3,102.0
4.72,21.2,102.0
4.72,21.2,102.0
4.724,21.3,102.0
4.72,21.1,98.0
4.724,20.9,98.0
4.72,21.3,102.0
4.724,21.0,98.0
4.72,21.1,98.0
4.72,21.4,102.0
4.72,21.2,102.0
4.724,21.4,102.0
4.72,21.3,102.0
4.724,21.4,102.0
4.72,21.3,102.0
4.72,20.8,102.0
4.724,21.1,98.0
4.72,21.2,98.0
4.724,21.1,98.0
4.72,20.9,98.0
4.72,20.9,102.0
4.72,21.3,102.0
4.72,20.9,102.0
4.72,20.9,98.0
4.724,21.2,98.0
4.72,21.3,98.0
4.72,21.3,102.0
4.72,21.2,98.0
4.72,21.5,102.0
4.724,21.1,98.0
4.72,21.1,102.0
4.724,21.1,98.0
4.72,21.4,102.0
4.728,21.3,98.0
4.72,21.1,98.0
4.72,20.9,102.0
4.724,21.1,98.0
4.72,21.2,98.0
4.72,21.2,102.0
4.72,21.1,98.0
4.72,21.2,98.0
4.72,21.3,102.0
4.72,21.0,98.0
4.72,21.0,98.0
4.72,21.1,98.0
4.72,21.3,102.0
4.724,20.9,102.0
4.72,21.1,98.0
4.724,21.3,102.0
4.724,20.9,98.0
4.72,21.0,98.0
4.72,21.1,98.0
4.72,21.2,102.0
4.724,20.8,98.0
4.724,21.1,98.0
4.72,21.2,102.0
4.724,21.0,102.0
4.724,20.8,98.0
4.72,21.0,102.0
4.72,21.4,102.0
4.72,21.4,102.0
4.724,21.4,98.0
4.72,20.9,98.0
4.72,21.0,102.0
4.724,21.2,98.0
4.72,21.4,102.0
4.724,21.2,98.0
4.724,21.2,102.0
4.72,21.3,102.0
4.724,21.0,98.0
4.72,21.5,102.0
4.72,21.0,98.0
4.724,21.0,98.0
4.72,21.1,98.0
4.724,21.2,98.0
4.724,21.2,98.0
4.724,20.9,102.0
4.72,21.0,98.0
4.72,21.3,102.0
4.724,21.5,98.0
4.72,21.2,102.0
4.72,21.0,102.0
4.724,21.1,98.0
4.716,21.2,102.0
4.724,21.2,98.0
4.72,21.2,98.0
4.72,21.4,98.0
4.72,21.4,102.0
4.724,21.3,102.0
4.724,21.2,98.0
4.724,21.0,98.0
4.72,21.1,98.0
4.724,21.3,98.0
4.724,21.4,102.0
4.724,21.3,102.0
4.724,21.4,102.0
4.716,21.4,102.0
4.724,21.2,98.0
4.724,21.2,102.0
4.724,21.3,98.0
4.72,21.1,98.0
4.72,21.2,102.0
4.724,21.2,98.0
4.724,21.3,102.0
4.72,21.1,98.0
4.724,21.5,102.0
4.72,20.9,98.0
4.724,21.2,102.0
4.72,21.3,102.0
4.72,21.0,98.0
4.724,20.8,98.0
4.724,21.1,98.0
4.724,21.1,102.0
4.72,21.2,98.0
4.72,21.4,102.0
4.724,21.2,98.0
4.72,21.3,102.0
4.72,21.1,98.0
4.72,21.1,98.0
4.72,21.1,98.0
4.724,21.0,98.0
4.72,21.4,102.0
4.724,21.4,98.0
4.72,21.1,98.0
4.716,21.0,98.0
4.724,21.3,98.0
4.724,21.0,98.0
4.72,21.1,98.0
4.72,21.2,102.0
4.72,21.1,98.0
4.72,20.8,102.0
4.72,21.2,102.0
4.72,21.4,102.0
4.724,21.1,102.0
4.72,21.3,102.0
4.72,21.4,98.0
4.724,21.1,98.0
4.716,21.3,102.0
4.724,21.0,98.0
4.72,21.3,102.0
4.72,21.2,98.0
4.724,21.2,102.0
4.72,21.5,102.0
4.724,21.3,102.0
4.724,21.0,98.0
4.72,21.4,102.0
4.72,21.1,98.0
4.72,21.0,98.0
4.72,21.1,98.0
4.72,20.8,98.0
4.716,21.0,102.0
4.72,21.2,102.0
4.716,21.3,102.0
4.724,21.2,102.0
4.724,21.6,102.0
4.72,21.0,98.0
4.72,21.1,98.0
4.72,21.1,98.0
4.72,21.2,102.0
4.724,21.1,98.0
4.72,21.4,102.0
4.72,20.9,102.0
4.724,21.2,102.0
4.72,21.1,102.0
4.72,21.0,98.0
4.72,21.3,102.0
4.72,21.3,102.0
4.724,21.2,98.0
4.724,21.2,102.0
4.724,21.5,102.0
4.72,21.1,98.0
4.72,21.0,102.0
4.72,21.1,98.0
4.72,21.1,102.0
4.72,21.3,102.0
4.72,21.1,98.0
4.724,20.8,98.0
4.72,21.0,98.0
4.72,21.1,98.0
4.72,21.2,102.0
4.724,21.0,98.0
4.724,21.2,98.0
4.72,21.4,102.0
4.72,21.2,102.0
4.728,21.0,98.0
4.724,21.2,102.0
4.72,21.3,102.0
4.72,21.3,102.0
4.716,21.0,98.0
4.72,20.9,102.0
4.724,21.0,98.0
4.724,20.9,102.0
4.724,21.2,98.0
4.72,21.1,98.0
4.72,21.1,102.0
4.724,21.2,102.0
4.724,20.9,98.0
4.72,21.6,102.0
4.72,21.2,102.0
4.72,21.1,102.0
4.72,20.9,98.0
4.72,21.3,102.0
4.724,20.9,98.0
4.724,21.3,102.0
4.72,20.7,102.0
4.724,20.8,98.0
4.72,21.4,102.0
4.72,21.4,98.0
4.72,21.3,102.0
4.724,21.1,102.0
4.724,21.1,98.0
4.72,21.0,98.0
4.724,21.1,102.0
4.72,21.2,102.0
4.724,21.1,98.0
4.724,21.0,98.0
4.72,21.1,98.0
4.724,21.2,102.0
4.724,21.0,98.0
4.72,21.3,102.0
4.724,21.0,98.0
4.72,21.2,98.0
4.72,20.9,98.0
4.724,21.0,98.0
4.72,20.9,98.0
4.724,21.3,102.0
4.724,21.3,102.0
4.72,21.2,102.0
4.724,21.2,102.0
4.72,21.3,102.0
4.72,21.2,98.0
4.724,21.1,98.0
4.724,21.0,98.0
4.724,21.1,98.0
4.72,21.3,102.0
4.724,21.0,102.0
4.724,21.2,98.0
4.724,21.0,102.0
4.724,21.2,98.0
4.716,21.3,102.0
4.724,21.1,102.0
4.724,20.8,98.0
4.72,20.8,98.0
4.724,21.2,98.0
4.716,21.4,102.0
4.724,21.2,98.0
4.724,21.2,102.0
4.72,21.3,102.0
4.72,21.4,98.0
4.72,20.7,98.0
4.724,20.6,96.0
4.724,20.2,96.0
4.72,20.5,98.0
4.72,20.8,98.0
4.724,20.5,98.0
4.72,20.7,98.0
4.724,20.5,96.0
4.72,20.7,98.0
4.724,20.8,98.0
4.724,20.6,98.0
4.724,20.6,96.0
4.724,20.5,98.0
4.72,20.6,98.0
4.728,20.5,98.0
4.724,20.6,98.0
4.724,20.6,98.0
4.724,20.6,98.0
4.72,20.8,98.0
4.724,20.5,98.0
4.72,20.7,98.0
4.72,20.7,96.0
4.724,20.6,98.0
4.724,20.8,98.0
4.724,20.5,98.0
4.724,20.6,98.0
4.72,20.8,98.0
4.724,20.7,98.0
4.72,20.9,98.0
4.724,20.7,98.0
4.724,20.5,98.0
4.72,20.6,98.0
4.724,20.6,98.0
4.72,20.7,98.0
4.724,20.7,98.0
4.724,20.8,98.0
4.72,20.8,98.0
4.724,20.9,98.0
4.724,20.8,98.0
4.72,20.5,96.0
4.728,20.6,98.0
4.72,20.6,98.0
4.72,21.1,98.0
4.724,20.9,98.0
4.72,20.5,98.0
4.724,21.0,98.0
4.72,20.9,98.0
4.724,20.6,98.0
4.724,20.5,96.0
4.72,20.5,98.0
4.724,20.7,98.0
4.728,20.6,98.0
4.724,20.7,98.0
4.72,20.7,98.0
4.72,20.9,98.0
4.724,20.6,98.0
4.724,20.5,98.0
4.724,20.5,98.0
4.724,20.6,98.0
4.72,20.3,96.0
4.724,20.7,98.0
4.724,20.8,98.0
4.724,20.6,96.0
4.724,20.8,98.0
4.72,20.6,98.0
4.72,20.7,98.0
4.724,20.7,98.0
4.724,20.7,96.0
4.724,20.5,98.0
4.72,20.5,98.0
4.724,20.7,98.0
4.72,20.8,98.0
4.724,20.7,98.0
4.724,20.6,98.0
4.72,20.7,98.0
4.724,20.2,98.0
4.72,20.6,98.0
4.72,20.4,96.0
4.724,20.2,98.0
4.724,20.6,98.0
4.72,21.0,98.0
4.724,20.8,98.0
4.72,20.6,98.0
4.728,20.8,98.0
4.724,20.4,96.0
4.724,20.5,98.0
4.724,20.5,98.0
4.724,20.6,98.0
4.724,20.1,96.0
4.724,21.0,98.0
4.724,20.6,96.0
4.724,20.6,98.0
4.72,20.6,98.0
4.72,20.7,98.0
4.724,20.6,98.0
4.724,20.6,96.0
4.724,20.8,98.0
4.72,20.8,98.0
4.72,20.8,98.0
4.72,20.6,98.0
4.72,20.9,96.0
4.724,20.7,98.0
4.72,20.8,98.0
4.724,20.5,98.0
4.724,20.7,98.0
4.72,20.2,96.0
4.724,20.2,98.0
4.724,20.7,98.0
4.728,20.8,96.0
4.724,20.7,98.0
4.724,20.6,98.0
4.724,20.5,96.0
4.724,20.7,98.0
4.724,20.6,96.0
4.724,20.5,98.0
4.72,20.5,98.0
4.724,20.5,98.0
4.724,20.5,98.0
4.724,20.6,98.0
4.724,20.7,98.0
4.72,21.0,98.0
4.724,20.6,98.0
4.72,20.5,98.0
4.724,20.8,98.0
4.72,20.8,98.0
4.72,20.2,96.0
4.724,20.4,98.0
4.72,20.6,98.0
4.72,20.8,96.0
4.724,20.6,98.0
4.72,20.7,98.0
4.724,20.8,98.0
4.724,20.8,98.0
4.724,20.8,98.0
4.724,20.6,98.0
4.72,20.6,98.0
4.724,20.6,98.0
4.72,21.0,98.0
4.72,20.5,98.0
4.724,20.7,98.0
4.724,20.7,98.0
4.72,20.6,98.0
4.72,20.8,98.0
4.724,20.5,98.0
4.724,20.3,98.0
4.724,20.5,98.0
4.724,20.6,98.0
4.72,20.7,98.0
4.72,20.9,98.0
4.724,20.7,98.0
4.724,20.8,98.0
4.724,20.6,98.0
4.724,20.7,98.0
4.724,20.5,98.0
4.724,20.8,98.0
4.724,20.6,98.0
4.72,20.5,98.0
4.724,20.9,98.0
4.72,20.8,98.0
4.72,20.8,98.0
4.724,20.6,98.0
4.724,20.8,98.0
4.728,20.6,96.0
4.724,20.7,98.0
4.72,20.5,98.0
4.724,20.9,98.0
4.72,20.8,98.0
4.724,20.5,98.0
4.724,20.8,98.0
4.724,20.6,98.0
4.724,20.6,98.0
4.72,20.6,98.0
4.724,20.5,98.0
4.72,20.9,98.0
4.72,20.5,98.0
4.728,20.7,98.0
4.72,20.9,98.0
4.724,20.7,98.0
4.724,20.6,98.0
4.724,20.5,96.0
4.724,20.6,98.0
4.72,20.5,98.0
4.724,20.7,96.0
4.724,20.5,98.0
4.72,20.8,98.0
4.724,20.6,98.0
4.72,20.7,98.0
4.724,20.7,98.0
4.724,20.7,98.0
4.72,20.4,98.0
4.724,20.3,96.0
4.72,20.7,98.0
4.724,20.7,98.0
4.724,20.6,98.0
4.72,20.6,98.0
4.724,20.7,98.0
4.72,20.9,98.0
4.724,20.3,98.0
4.72,20.6,98.0
4.72,20.3,96.0
4.724,20.7,98.0
4.724,20.6,98.0
4.72,20.7,96.0
4.724,20.6,98.0
4.72,20.6,98.0
4.724,21.0,98.0
4.72,20.8,98.0
4.724,20.6,96.0
4.724,20.5,98.0
4.72,20.7,98.0
4.724,20.6,98.0
4.724,21.0,98.0
4.72,20.5,98.0
4.724,20.7,98.0
4.72,20.6,98.0
4.724,21.0,98.0
4.724,20.5,98.0
4.724,20.5,98.0
4.724,20.6,98.0
4.72,20.5,98.0
4.724,20.3,98.0
4.72,20.9,98.0
4.72,20.6,98.0
4.724,20.1,98.0
4.724,20.7,98.0
4.72,20.7,98.0
4.72,20.6,98.0
4.72,20.7,98.0
4.724,20.6,98.0
4.724,20.3,96.0
4.724,20.8,96.0
4.724,20.9,98.0
4.72,20.6,98.0
4.724,20.6,98.0
4.724,21.0,98.0
4.724,20.3,98.0
4.72,20.8,98.0
4.724,20.6,98.0
4.724,20.6,98.0
4.724,20.6,98.0
4.724,20.7,98.0
4.724,20.9,98.0
4.72,20.8,98.0
4.72,20.4,98.0
4.724,20.2,96.0
4.724,20.0,98.0
4.724,20.6,98.0
4.72,20.1,96.0
4.724,20.6,98.0
4.724,20.9,98.0
4.72,20.6,98.0
4.724,20.8,98.0
4.724,20.7,98.0
4.72,20.6,98.0
4.724,20.7,98.0
4.72,20.9,98.0
4.728,20.1,98.0
4.724,20.5,98.0
4.724,20.3,98.0
4.724,20.8,98.0
4.72,20.9,98.0
4.724,20.6,98.0
4.724,20.8,98.0
4.724,20.8,96.0
4.724,20.6,98.0
4.72,20.5,98.0
4.72,20.5,98.0
4.72,20.9,98.0
