Bus Voltage (V),Current (mA),Power (mW)
2.0,47.4,222.0
4.732,47.5,226.0
4.732,47.9,230.0
4.732,47.8,226.0
4.732,46.9,222.0
4.732,48.2,230.0
4.732,47.8,226.0
4.732,47.5,222.0
4.732,48.2,230.0
4.736,48.0,226.0
4.732,47.4,222.0
4.732,47.4,222.0
4.732,48.3,230.0
4.732,47.5,226.0
4.732,47.6,226.0
4.732,48.0,226.0
4.732,47.8,226.0
4.732,47.6,226.0
4.732,48.2,230.0
4.732,47.8,226.0
4.732,47.4,222.0
4.732,47.7,226.0
4.732,48.2,230.0
4.732,47.6,222.0
4.732,47.5,226.0
4.732,48.0,226.0
4.732,48.0,226.0
4.732,47.5,226.0
4.732,48.4,230.0
4.732,48.1,226.0
4.732,47.5,226.0
4.732,48.4,230.0
4.732,48.2,230.0
4.732,47.4,222.0
4.732,48.0,226.0
4.732,48.6,230.0
4.732,47.4,222.0
4.732,47.8,226.0
4.732,48.4,230.0
4.732,48.2,226.0
4.732,47.2,226.0
4.736,48.3,230.0
4.732,47.9,226.0
4.732,47.5,226.0
4.732,47.9,226.0
4.732,48.4,230.0
4.732,47.5,226.0
4.732,47.7,226.0
4.732,48.4,230.0
4.708,62.2,292.0
4.712,61.7,292.0
4.708,62.2,294.0
4.708,62.3,294.0
4.708,61.7,292.0
4.708,61.4,288.0
4.712,60.7,286.0
4.708,61.6,292.0
4.708,61.8,292.0
4.712,62.3,294.0
4.708,61.9,292.0
4.708,61.5,288.0
4.708,62.1,292.0
4.708,62.1,292.0
4.708,61.6,292.0
4.708,62.2,292.0
4.708,62.5,294.0
4.704,61.1,288.0
4.708,61.6,292.0
4.708,62.3,292.0
4.708,60.7,286.0
4.708,60.8,286.0
4.712,62.2,292.0
4.708,62.2,294.0
4.708,61.4,288.0
4.708,62.2,292.0
4.708,62.2,292.0
4.708,61.6,292.0
4.712,62.0,292.0
4.708,61.9,294.0
4.708,61.6,292.0
4.708,61.8,292.0
4.712,61.9,292.0
4.704,62.3,292.0
4.704,61.6,292.0
4.712,62.1,292.0
4.712,61.8,292.0
4.708,61.5,288.0
4.712,62.4,294.0
4.712,62.1,292.0
4.708,61.9,292.0
4.708,61.3,288.0
4.708,62.0,292.0
4.704,61.6,292.0
4.708,61.6,292.0
4.708,62.5,294.0
4.708,62.4,294.0
4.708,59.8,282.0
4.708,62.2,292.0
4.708,62.5,294.0
4.712,61.7,292.0
4.712,62.2,292.0
4.708,62.4,294.0
4.708,61.7,292.0
4.712,61.1,288.0
4.712,62.4,292.0
4.708,62.2,294.0
4.708,61.8,292.0
4.708,62.3,294.0
4.708,62.3,294.0
4.708,61.7,292.0
4.712,61.5,292.0
4.712,61.1,288.0
4.708,62.0,292.0
4.708,61.8,292.0
4.708,62.3,294.0
4.708,61.8,294.0
4.708,61.7,288.0
4.712,62.2,292.0
4.708,62.3,294.0
4.708,62.2,292.0
4.712,62.1,294.0
4.712,62.2,292.0
4.708,61.0,288.0
4.708,61.8,292.0
4.712,62.6,294.0
4.712,61.4,288.0
4.712,61.6,292.0
4.708,62.3,294.0
4.708,62.4,294.0
4.708,61.8,292.0
4.708,62.2,292.0
4.708,62.0,294.0
4.708,61.8,288.0
4.708,62.5,294.0
4.708,62.3,294.0
4.708,61.9,292.0
4.708,61.9,292.0
4.712,60.7,292.0
4.708,61.7,292.0
4.708,61.7,292.0
4.712,62.4,294.0
4.708,62.1,292.0
4.708,61.7,292.0
4.708,62.6,292.0
4.708,61.9,292.0
4.704,61.6,288.0
4.712,61.7,292.0
4.708,62.4,292.0
4.708,61.6,288.0
4.708,62.1,292.0
4.708,62.4,294.0
4.708,62.1,292.0
4.708,61.6,292.0
4.708,62.5,294.0
4.708,62.3,294.0
4.708,61.8,292.0
4.708,61.7,292.0
4.708,62.4,294.0
4.708,61.8,292.0
4.712,61.8,286.0
4.708,62.2,292.0
4.708,61.5,288.0
4.708,61.6,292.0
4.708,61.3,292.0
4.708,62.3,294.0
4.708,62.0,292.0
4.708,62.4,294.0
4.712,62.3,294.0
4.712,61.8,292.0
4.704,61.8,292.0
4.708,61.9,294.0
4.708,61.8,292.0
4.708,61.6,288.0
4.712,61.8,292.0
4.708,62.2,286.0
4.708,61.6,292.0
4.712,62.2,292.0
4.712,62.1,292.0
4.704,61.4,288.0
4.708,61.7,292.0
4.708,62.2,294.0
4.708,61.4,288.0
4.704,61.8,292.0
4.708,62.3,294.0
4.708,62.4,294.0
4.712,61.6,288.0
4.708,62.5,294.0
4.712,62.1,292.0
4.712,61.6,292.0
4.708,61.6,292.0
4.708,62.7,294.0
4.708,61.6,292.0
4.708,62.1,292.0
4.708,62.3,294.0
4.712,61.4,288.0
4.712,61.7,292.0
4.708,62.6,292.0
4.712,62.2,294.0
4.712,61.8,292.0
4.708,62.4,294.0
4.712,60.5,286.0
4.708,61.6,292.0
4.704,61.6,292.0
4.708,62.3,294.0
4.708,61.6,292.0
4.708,61.6,292.0
4.708,62.5,294.0
4.708,62.2,288.0
4.708,61.9,292.0
4.708,62.4,294.0
4.712,62.3,294.0
4.712,61.7,292.0
4.708,62.2,292.0
4.708,62.6,294.0
4.712,61.1,288.0
4.712,61.0,288.0
4.712,62.3,294.0
4.708,61.9,294.0
4.704,61.9,292.0
4.712,62.0,292.0
4.708,62.3,294.0
4.708,61.6,292.0
4.708,61.8,292.0
4.712,61.9,294.0
4.708,61.7,292.0
4.708,62.0,292.0
4.708,61.4,288.0
4.712,61.9,292.0
4.708,61.6,292.0
4.712,62.4,294.0
4.712,62.3,294.0
4.708,61.6,292.0
4.712,62.4,294.0
4.708,62.2,292.0
4.708,61.7,288.0
4.712,61.8,292.0
4.708,62.3,294.0
4.708,61.7,292.0
4.708,61.5,288.0
4.708,62.5,294.0
4.708,62.2,294.0
4.708,60.0,282.0
4.708,62.7,294.0
4.708,62.5,294.0
4.712,61.5,292.0
4.712,62.2,292.0
4.708,62.5,294.0
4.708,61.8,292.0
4.708,61.4,288.0
4.712,62.4,294.0
4.712,61.8,292.0
4.708,61.8,286.0
4.708,62.3,294.0
4.708,62.4,294.0
4.708,61.9,292.0
4.712,61.7,294.0
4.712,61.8,292.0
4.708,62.0,292.0
4.708,62.0,292.0
4.708,62.5,294.0
4.708,62.2,292.0
4.708,62.0,292.0
4.708,62.4,294.0
4.708,62.4,294.0
4.708,61.8,292.0
4.712,62.5,294.0
4.708,62.3,292.0
4.708,60.6,288.0
4.712,62.1,292.0
4.708,62.3,294.0
4.708,61.7,292.0
4.712,61.7,292.0
4.708,62.3,294.0
4.708,61.7,294.0
4.708,61.1,288.0
4.712,62.5,294.0
4.708,61.9,292.0
4.708,61.9,288.0
4.712,62.3,286.0
4.708,62.4,294.0
4.712,61.9,292.0
4.708,61.9,292.0
4.708,62.2,292.0
4.708,61.8,292.0
4.712,62.0,292.0
4.708,62.3,294.0
4.708,62.2,292.0
4.708,61.7,292.0
4.712,62.4,294.0
4.712,61.6,292.0
4.712,61.7,292.0
4.712,61.9,292.0
4.708,62.2,292.0
4.708,61.4,288.0
4.704,62.0,292.0
4.708,62.4,294.0
4.708,62.3,294.0
4.712,61.8,292.0
4.708,62.4,294.0
4.708,62.4,294.0
4.704,61.7,292.0
4.708,62.5,294.0
4.712,62.3,294.0
4.708,61.7,292.0
4.708,61.9,282.0
4.712,62.6,292.0
4.708,62.0,292.0
4.708,61.9,292.0
4.708,62.2,292.0
4.712,62.4,294.0
4.708,61.6,292.0
4.708,62.6,294.0
4.708,62.5,294.0
4.708,61.7,292.0
4.712,61.8,292.0
4.712,61.8,294.0
4.708,61.4,292.0
4.708,61.9,292.0
4.708,61.8,292.0
4.708,61.4,288.0
4.712,61.8,292.0
4.708,62.6,294.0
4.712,62.6,294.0
4.712,61.7,292.0
4.708,61.7,292.0
4.708,62.2,292.0
4.708,61.7,292.0
4.708,61.7,292.0
4.712,62.6,294.0
4.708,61.8,292.0
4.708,60.9,288.0
4.708,62.2,292.0
4.712,62.3,294.0
4.708,61.8,292.0
4.716,62.4,294.0
4.712,62.3,294.0
4.708,61.9,292.0
4.712,61.8,292.0
4.712,62.3,292.0
4.708,61.8,292.0
4.708,62.2,292.0
4.712,62.4,294.0
4.708,62.4,294.0
4.708,61.8,292.0
4.712,62.4,294.0
4.712,60.7,286.0
4.708,61.9,292.0
4.712,61.9,292.0
4.708,62.2,294.0
4.712,61.4,288.0
4.708,61.8,292.0
4.708,62.5,294.0
4.712,61.8,292.0
4.708,61.8,292.0
4.712,62.4,294.0
4.712,62.3,294.0
4.708,61.9,292.0
4.708,62.5,294.0
4.712,62.3,294.0
4.708,61.4,292.0
4.708,61.0,288.0
4.712,62.2,292.0
4.712,61.6,292.0
4.712,62.0,292.0
4.712,62.4,294.0
4.704,62.5,294.0
4.708,61.8,292.0
4.712,62.4,294.0
4.708,62.3,294.0
4.708,61.8,292.0
4.712,62.4,292.0
4.708,61.3,288.0
4.708,61.6,292.0
4.708,61.8,292.0
4.712,62.5,294.0
4.712,61.4,292.0
4.708,61.9,292.0
4.712,62.6,294.0
4.708,61.9,292.0
4.708,61.9,292.0
4.708,62.4,292.0
4.708,62.2,292.0
4.712,61.9,292.0
4.708,62.1,292.0
4.708,62.4,294.0
4.708,61.2,292.0
4.712,60.2,292.0
4.708,62.7,294.0
4.708,62.4,294.0
4.712,61.9,292.0
4.712,62.1,292.0
4.712,62.3,294.0
4.712,61.8,292.0
4.708,61.5,288.0
4.712,62.3,294.0
4.708,61.9,292.0
4.708,61.8,288.0
4.708,62.6,292.0
4.708,62.5,294.0
4.708,62.1,292.0
4.712,62.4,294.0
4.712,62.4,294.0
4.712,62.1,292.0
4.708,62.2,292.0
4.708,62.5,294.0
4.708,61.6,292.0
4.708,61.7,292.0
4.708,62.7,294.0
4.708,61.5,286.0
4.708,62.2,292.0
4.712,62.3,294.0
4.712,62.5,294.0
4.708,61.3,288.0
4.708,62.2,294.0
4.708,62.5,294.0
4.708,61.9,292.0
4.712,61.9,292.0
4.708,62.5,294.0
4.708,61.7,292.0
4.708,61.1,292.0
4.708,62.2,292.0
4.708,62.4,294.0
4.708,61.1,288.0
4.708,62.4,288.0
4.712,62.6,294.0
4.708,62.0,292.0
4.712,61.8,292.0
4.712,62.3,294.0
4.708,61.7,292.0
4.704,61.8,292.0
4.708,61.8,294.0
4.708,61.9,292.0
4.708,62.0,292.0
4.712,62.4,294.0
4.708,62.2,288.0
4.708,61.8,292.0
4.708,62.4,294.0
4.712,62.4,294.0
4.708,61.7,292.0
4.712,61.9,292.0
4.708,62.4,294.0
4.712,61.7,292.0
4.712,62.1,292.0
4.712,62.4,294.0
4.712,62.3,294.0
4.708,61.6,292.0
4.712,62.5,294.0
4.708,62.5,294.0
4.708,61.7,292.0
4.708,60.1,282.0
4.708,62.5,294.0
4.708,62.1,292.0
4.712,61.8,292.0
4.712,61.8,292.0
4.708,62.3,294.0
4.708,61.8,292.0
4.712,62.1,292.0
4.712,62.2,292.0
4.708,62.0,292.0
4.712,62.5,294.0
4.712,62.1,292.0
4.708,61.9,292.0
4.708,61.8,292.0
4.708,62.2,292.0
4.708,61.3,288.0
4.708,61.9,292.0
4.712,62.4,294.0
4.708,62.6,292.0
4.708,61.7,292.0
4.708,62.4,294.0
4.708,62.4,294.0
4.712,61.9,292.0
4.708,62.3,292.0
4.708,62.7,294.0
4.708,61.5,288.0
4.708,60.9,286.0
4.708,62.3,294.0
4.712,61.8,294.0
4.708,61.7,292.0
4.712,62.7,294.0
4.712,62.0,292.0
4.708,61.7,292.0
4.708,62.0,292.0
4.712,62.1,294.0
4.712,62.0,292.0
4.708,61.8,292.0
4.712,62.3,294.0
4.708,62.1,292.0
